도시,날짜,시간,요일,주말여부,계절,연도,월,자전거수요
london,2023-01-08,2,6,1,winter,2023,1,114
london,2023-01-08,3,6,1,winter,2023,1,68
london,2023-01-08,4,6,1,winter,2023,1,41
london,2023-01-08,5,6,1,winter,2023,1,34
london,2023-01-08,6,6,1,winter,2023,1,63
london,2023-01-08,7,6,1,winter,2023,1,128
london,2023-01-08,8,6,1,winter,2023,1,292
london,2023-01-08,9,6,1,winter,2023,1,600
london,2023-01-08,10,6,1,winter,2023,1,946
london,2023-01-08,11,6,1,winter,2023,1,945
london,2023-01-08,12,6,1,winter,2023,1,837
london,2023-01-08,13,6,1,winter,2023,1,557
london,2023-01-08,14,6,1,winter,2023,1,465
london,2023-01-08,15,6,1,winter,2023,1,397
london,2023-01-08,16,6,1,winter,2023,1,638
london,2023-01-08,17,6,1,winter,2023,1,525
london,2023-01-08,18,6,1,winter,2023,1,547
london,2023-01-08,19,6,1,winter,2023,1,431
london,2023-01-08,20,6,1,winter,2023,1,366
london,2023-01-08,21,6,1,winter,2023,1,254
london,2023-01-08,22,6,1,winter,2023,1,243
london,2023-01-08,23,6,1,winter,2023,1,168
london,2023-01-09,0,0,0,winter,2023,1,91
london,2023-01-09,1,0,0,winter,2023,1,55
london,2023-01-09,2,0,0,winter,2023,1,29
london,2023-01-09,3,0,0,winter,2023,1,18
london,2023-01-09,4,0,0,winter,2023,1,26
london,2023-01-09,5,0,0,winter,2023,1,132
london,2023-01-09,6,0,0,winter,2023,1,589
london,2023-01-09,7,0,0,winter,2023,1,1689
london,2023-01-09,8,0,0,winter,2023,1,2937
london,2023-01-09,9,0,0,winter,2023,1,1449
london,2023-01-09,10,0,0,winter,2023,1,758
london,2023-01-09,11,0,0,winter,2023,1,705
london,2023-01-09,12,0,0,winter,2023,1,840
london,2023-01-09,13,0,0,winter,2023,1,851
london,2023-01-09,14,0,0,winter,2023,1,765
london,2023-01-09,15,0,0,winter,2023,1,1044
london,2023-01-09,16,0,0,winter,2023,1,1325
london,2023-01-09,17,0,0,winter,2023,1,2436
london,2023-01-09,18,0,0,winter,2023,1,2521
london,2023-01-09,19,0,0,winter,2023,1,1438
london,2023-01-09,20,0,0,winter,2023,1,850
london,2023-01-09,21,0,0,winter,2023,1,545
london,2023-01-09,22,0,0,winter,2023,1,379
london,2023-01-09,23,0,0,winter,2023,1,192
london,2023-01-10,0,1,0,winter,2023,1,91
london,2023-01-10,1,1,0,winter,2023,1,57
london,2023-01-10,2,1,0,winter,2023,1,28
london,2023-01-10,3,1,0,winter,2023,1,26
london,2023-01-10,4,1,0,winter,2023,1,41
london,2023-01-10,5,1,0,winter,2023,1,141
london,2023-01-10,6,1,0,winter,2023,1,663
london,2023-01-10,7,1,0,winter,2023,1,1155
london,2023-01-10,8,1,0,winter,2023,1,1654
london,2023-01-10,9,1,0,winter,2023,1,798
